date,migration_index
20190112,9.3351852
20190113,8.2029996
20190114,7.8272892
20190115,6.7750992
20190116,7.0771968
20190117,7.43094
20190118,7.6412484
20190119,10.1525724
20190120,9.6347232
20190121,9.9261288
20190122,9.8083224
20190123,10.8651132
20190124,11.572308
20190125,12.9449664
20190126,18.570384
20190127,20.4308892
20190128,20.4845436
20190129,19.2438504
20190130,19.655136
20190131,20.756574
20190201,21.2322384
20190202,18.0986724
20190203,14.297958
20190204,11.2041792
20190205,6.265674
20190206,7.67961
20190207,6.67116
20190208,5.690736
20190209,4.8056652
20190210,4.4908344
20190211,4.47606
20190212,4.3482744
20190213,4.487238
20190214,4.8469104
20190215,5.028804
20190216,6.8241528
20190217,6.0673536
20190218,6.1765092
20190219,5.2748496
20190220,5.189832
20190221,5.2222644
20190222,5.4967572
20190223,8.0788752
20190224,7.570422
20190225,6.6527244
20190226,5.8301208
20190227,6.5027772
20190228,8.2394172
20190301,7.092522
20190302,9.8170056
20190303,8.121384
20190304,7.973316
20190305,6.4870956
20190306,6.3724968
20190307,6.2665164
20190308,6.8980572
20190309,9.064224
20190310,7.6226508
20190311,7.9973244
20190312,6.6091464
20190313,6.3757368
20190314,6.464772
20190315,6.8104476
20190316,10.3229316
20190317,8.6369004
20190318,8.3278692
20190319,6.5764548
20190320,6.698214
20190321,6.7837176
20190322,7.1075556
20190323,9.9676656
20190324,7.5205908
20190325,7.4605536
20190326,6.4719648
20190327,6.5069568
20190328,6.762204
20190329,7.4447424
20190330,10.5583176
20190331,11.539746
20190401,8.3286468
20190402,8.6651532
20190403,10.9555416
20190404,16.1028972
20190405,28.3237884
20190406,13.8362256
20190407,8.926686
20190408,8.6690088
20190409,6.9692724
20190410,7.0464492
20190411,7.208838
20190412,7.6053492
20200101,6.5575008
20200102,5.859864
20200103,9.6199488
20200104,10.958814
20200105,9.3481776
20200106,9.4632624
20200107,8.937216
20200108,9.4871412
20200109,11.4669108
20200110,9.4892472
20200111,13.0937148
20200112,12.2928516
20200113,11.4270912
20200114,10.7605908
20200115,12.454398
20200116,15.1403904
20200117,18.0621576
20200118,24.5302668
20200119,25.89732
20200120,25.4825352
20200121,27.1716768
20200122,21.8942028
20200123,17.7825456
20200124,13.1922432
20200125,5.6490696
20200126,3.6039816
20200127,2.5287228
20200128,1.8767052
20200129,1.606716
20200130,1.5246468
20200131,1.3768056
20200201,1.3243176
20200202,1.4254704
20200203,1.5128856
20200204,1.2312972
20200205,1.0957032
20200206,1.1120652
20200207,1.1233728
20200208,1.0954116
20200209,1.086858
20200210,1.4377824
20200211,1.0158372
20200212,0.9738144
20200213,0.9955872
20200214,0.9578412
20200215,1.0252656
20200216,0.8472924
20200217,1.4190552
20200218,1.1632572
20200219,1.15911
20200220,1.3042944
20200221,1.437426
20200222,1.7580888
20200223,1.5135336
20200224,2.1905316
20200225,1.8502992
20200226,1.8811116
20200227,2.0934288
20200228,2.2950864
20200229,3.049002
20200301,2.7614196
20200302,3.1897476
20200303,2.6382348
20200304,2.6071632
20200305,2.6865756
20200306,2.9551392
20200307,4.1529996
20200308,3.539538
20200309,3.8847276
20200310,3.233682
20200311,3.2656932
20200312,3.3700536
20200313,3.6030744
20200314,5.1739236
20200315,4.4061732
